iter	Logloss
0	0.6223195955
1	0.5748312921
2	0.537460163
3	0.508562246
4	0.4866323461
5	0.4675731472
6	0.4529511632
7	0.4374833267
8	0.4293559466
9	0.4205091349
10	0.4142822601
11	0.4076826634
12	0.4028017634
13	0.3981192754
14	0.3936966745
15	0.3906540052
16	0.3865793471
17	0.3837589782
18	0.3811041923
19	0.3781127143
20	0.3761877193
21	0.3748123958
22	0.3730235322
23	0.3712417436
24	0.3683141605
25	0.3669516892
26	0.3656389481
27	0.3640479962
28	0.3628598151
29	0.3614950955
30	0.3604253356
31	0.3587013977
32	0.3575242405
33	0.3557167341
34	0.3550432786
35	0.3540154092
36	0.3527600603
37	0.3520562776
38	0.3515526218
39	0.3497978584
40	0.3486091331
41	0.3482120642
42	0.3467830119
43	0.346015436
44	0.3442283029
45	0.343335157
46	0.3424828124
47	0.3411411515
48	0.3404767476
49	0.3395776662
50	0.3389920841
51	0.3380407979
52	0.3376230545
53	0.3359678598
54	0.335231441
55	0.3342521129
56	0.3338253555
57	0.3326468496
58	0.3317417177
59	0.3309704029
60	0.329833424
61	0.3291510349
62	0.3284998629
63	0.3275499765
64	0.3270361058
65	0.326498601
66	0.325796473
67	0.3246342911
68	0.3239636563
69	0.3223257447
70	0.3218760674
71	0.3212080666
72	0.3201936865
73	0.3189998312
74	0.3177611477
75	0.3163961849
76	0.3159419614
77	0.3149300805
78	0.3143930039
79	0.3138067886
80	0.3123776808
81	0.3113961348
82	0.3097947488
83	0.3089385768
84	0.3081678992
85	0.306317144
86	0.3060009396
87	0.3053740458
88	0.304873437
89	0.3040982395
90	0.3033750327
91	0.3012933188
92	0.3004061856
93	0.2993599023
94	0.2984320667
95	0.2975713706
96	0.2966859043
97	0.2961988281
98	0.2955850398
99	0.294380504
100	0.2920928811
101	0.2903886241
102	0.2895164554
103	0.2890389959
104	0.2878008261
105	0.2868603793
106	0.2862790551
107	0.2854090403
108	0.2845220342
109	0.2835741708
110	0.2832169913
111	0.281789371
112	0.281228347
113	0.2808754023
114	0.2801555216
115	0.2796920452
116	0.278921164
117	0.2781604569
118	0.2775864182
119	0.2771586105
120	0.2764951027
121	0.2756255349
122	0.2747458662
123	0.2741513219
124	0.2736134198
125	0.2729648805
126	0.2721376405
127	0.271181953
128	0.2705939571
129	0.2703273546
130	0.270045614
131	0.2692247067
132	0.2687808995
133	0.2675697636
134	0.2672163028
135	0.2667083078
136	0.2658188932
137	0.2642929025
138	0.2634143695
139	0.2631452927
140	0.2626462235
141	0.2621373922
142	0.2614954502
143	0.2605349895
144	0.2603113135
145	0.2587416566
146	0.2578642668
147	0.2575557538
148	0.2563241674
149	0.255953325
150	0.2555674834
151	0.2545957536
152	0.2539462615
153	0.2532250056
154	0.2529652565
155	0.2522165948
156	0.2513186007
157	0.2508051626
